t,E1,Emass,Ebound,delta,5,6,Model,CFL,Res,nCells
0.5,0.003039444480236562,6.383782391594649e-16,1.1102230246251563e-15,0.01471350682318831,3552.0,0.00028153153153153137,MULES,CFL005,40,67.96476271883817
0.5,0.0016934659532611808,8.049116928532385e-16,6.211761481812508e-19,0.007267144849352045,14572.0,6.862475981334145e-05,MULES,CFL005,80,137.60562376696842
0.5,0.000861565349033607,2.942091015256665e-15,3.875884254864083e-19,0.003624693762135384,58588.0,1.7068341639923633e-05,MULES,CFL005,160,275.8853755995317
0.5,0.01182365617599466,2.775557561562892e-17,4.334320169907906e-18,0.062121995607097774,198.0,0.005050505050505048,MULES,CFL01,10,16.097357952321556
0.5,0.005972763548384558,4.163336342344337e-17,2.7334403904825953e-17,0.030088627967210856,850.0,0.001176470588235295,MULES,CFL01,20,33.23514788011444
0.5,0.0033666698049212938,2.498001805406602e-16,7.222000775186643e-12,0.01471350682318831,3552.0,0.00028153153153153137,MULES,CFL01,40,67.96476271883817
0.5,0.0018400715411704424,6.10622663543836e-16,2.1432189356573872e-11,0.007267144849352045,14572.0,6.862475981334145e-05,MULES,CFL01,80,137.60562376696842
0.5,0.0009333637794608098,2.8310687127941488e-15,5.047740003760737e-12,0.003624693762135384,58588.0,1.7068341639923633e-05,MULES,CFL01,160,275.8853755995317
0.5,0.013603589548366138,1.3877787807814457e-17,3.416131644229381e-08,0.062121995607097774,198.0,0.005050505050505048,MULES,CFL02,10,16.097357952321556
0.5,0.007664292062145651,9.714451465470121e-17,1.4989900432027523e-09,0.030088627967210856,850.0,0.001176470588235295,MULES,CFL02,20,33.23514788011444
0.5,0.004266409060886922,1.3877787807814454e-16,1.1917094250555779e-09,0.01471350682318831,3552.0,0.00028153153153153137,MULES,CFL02,40,67.96476271883817
0.5,0.0022922279309556524,3.05311331771918e-16,1.4017800242793754e-06,0.007267144849352045,14572.0,6.862475981334145e-05,MULES,CFL02,80,137.60562376696842
0.5,0.0011480586389110731,2.942091015256665e-15,2.0407133982658365e-08,0.003624693762135384,58588.0,1.7068341639923633e-05,MULES,CFL02,160,275.8853755995317
0.5,0.024458881931594335,6.93889390390723e-17,0.002071502014059368,0.062121995607097774,198.0,0.005050505050505048,MULES,CFL05,10,16.097357952321556
0.5,0.018945773174782368,0.0,0.0013688021202817868,0.030088627967210856,850.0,0.001176470588235295,MULES,CFL05,20,33.23514788011444
0.5,0.009350984308404224,1.3877787807814454e-16,0.0017010603986646888,0.01471350682318831,3552.0,0.00028153153153153137,MULES,CFL05,40,67.96476271883817
0.5,0.005174177177219677,2.775557561562892e-17,0.0002931363772833847,0.007267144849352045,14572.0,6.862475981334145e-05,MULES,CFL05,80,137.60562376696842
0.5,0.003988963435006967,4.773959005888173e-15,0.04045440666882682,0.003624693762135384,58588.0,1.7068341639923633e-05,MULES,CFL05,160,275.8853755995317
